Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Story,TASK-54,10472,Implement file picker (SAF),Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Medium,Done,Done,27/Jul/26 11:30 AM,07/Sep/26 9:50 AM,
Story,TASK-46,10464,"Implement PIN storage bảo mật (hash, không plaintext)",Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,High,Done,Done,27/Jul/26 11:30 AM,30/Aug/26 9:49 AM,
Story,TASK-40,10458,Implement BootReceiver (khôi phục alarms sau reboot),Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,High,Done,Done,27/Jul/26 11:30 AM,22/Aug/26 2:39 PM,
Story,TASK-39,10457,Handle Notification Permission (Android 13+),Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Highest,Done,Done,27/Jul/26 11:30 AM,14/Aug/26 5:56 PM,
Story,TASK-28,10446,Implement Create Task (validate + save to Room),Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Highest,Done,Done,27/Jul/26 11:30 AM,08/Aug/26 11:03 PM,
Story,TASK-26,10444,Code layout Backup/Restore Screen theo design,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Medium,Done,Done,27/Jul/26 11:30 AM,07/Sep/26 8:41 AM,
Story,TASK-25,10443,Code PIN Lock Screen theo design,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Medium,Done,Done,27/Jul/26 11:30 AM,30/Aug/26 10:56 AM,
Story,TASK-16,10434,Viết README.md đầy đủ,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Medium,Done,Done,27/Jul/26 11:30 AM,30/Jul/26 6:18 PM,
Story,TASK-15,10433,Tách config ra khỏi business logic,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Medium,Done,Done,27/Jul/26 11:30 AM,30/Jul/26 7:46 PM,
Story,TASK-14,10432,Tạo Base ViewModel + State Management,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Highest,Done,Done,27/Jul/26 11:30 AM,30/Jul/26 6:00 PM,
Story,TASK-13,10431,Tạo TaskRepository (abstraction layer),Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Highest,Done,Done,27/Jul/26 11:30 AM,29/Jul/26 11:51 PM,
Story,TASK-12,10430,Tạo Room Database + DAO (TaskDao),Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Highest,Done,Done,27/Jul/26 11:30 AM,29/Jul/26 11:20 PM,
Story,TASK-11,10429,"Thiết kế Data Model (Entity: Task, RecurrenceRule)",Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Highest,Done,Done,27/Jul/26 11:30 AM,29/Jul/26 9:33 PM,
Story,TASK-10,10428,"Thiết lập .gitignore, Gradle wrapper, cấu trúc repository",Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Highest,Done,Done,27/Jul/26 11:30 AM,29/Jul/26 1:08 PM,
Story,TASK-9,10427,"Khởi tạo Android Studio Project (Kotlin, min SDK 26+)",Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Trần Văn Thái,712020:1bb82b96-74dd-497e-b44e-4c5177d7f70f,Highest,Done,Done,27/Jul/26 11:30 AM,29/Jul/26 12:18 AM,
